Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-01,2022,01,01,,1.3,,-8.3,,-3.5,,21.5,,0.0,,0.0,,0.0,,0.0,,5,,32,,39,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-02,2022,01,02,,-8.3,,-16.6,,-12.5,,30.5,,0.0,,0.0,,0.4,,0.4,,5,,32,,38,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-03,2022,01,03,,-12.6,,-19.3,,-16.0,,34.0,,0.0,,0.0,,0.0,,0.0,,2,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-04,2022,01,04,,-1.2,,-14.4,,-7.8,,25.8,,0.0,,0.0,,0.0,T,0.0,T,5,,16,,35,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-05,2022,01,05,,3.2,,-6.5,,-1.7,,19.7,,0.0,,0.0,,0.0,T,0.0,T,5,,22,,60,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-06,2022,01,06,,0.4,,-14.1,,-6.9,,24.9,,0.0,,0.0,,0.0,T,0.0,T,4,,24,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-07,2022,01,07,,-10.3,,-18.6,,-14.5,,32.5,,0.0,,0.0,,1.0,,0.6,,4,,29,,43,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-08,2022,01,08,,-11.8,,-23.6,,-17.7,,35.7,,0.0,,0.0,T,0.0,,0.0,T,4,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-09,2022,01,09,,2.4,,-11.9,,-4.8,,22.8,,0.0,,0.0,,1.2,,0.8,,4,,27,,74,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-10,2022,01,10,,-9.6,,-22.4,,-16.0,,34.0,,0.0,,0.0,,0.0,T,0.0,T,4,,29,,44,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-11,2022,01,11,,-14.5,,-26.6,,-20.6,,38.6,,0.0,,0.0,T,0.0,,0.0,T,4,,33,,39,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-12,2022,01,12,,-6.3,,-16.2,,-11.3,,29.3,,0.0,,0.0,,1.8,,1.4,,4,,31,,40,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-13,2022,01,13,,-7.2,,-9.8,,-8.5,,26.5,,0.0,,0.0,,0.6,,0.4,,4,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-14,2022,01,14,,-6.9,,-23.7,,-15.3,,33.3,,0.0,,0.0,T,0.0,,0.0,T,4,,32,,44,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-15,2022,01,15,,-19.3,,-26.8,,-23.1,,41.1,,0.0,,0.0,,0.0,,0.0,,4,,33,,31,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-16,2022,01,16,,-14.5,,-27.6,,-21.1,,39.1,,0.0,,0.0,,0.0,T,0.0,T,4,,,M,,M
